ind,indicator,disaggregate,sex,agecoarse,resultstatus,otherdisaggregate
HTS_TST,HTS_TST,Total Numerator,,,,
HTS_TST_POS,HTS_TST_POS,Total Numerator,,,,
HTS_POS_OFFER_INDX,,,,,,
KWN_POS_OFFER_INDX,,,,,,
HTS_POS_ACCPT_INDX,,,,,,
KWN_POS_ACCPT_INDX,,,,,,
CONTACTS_INDX,,,,,,
CONTACTS_INDX_C,,,,,,
CONTACTS_INDX_P,,,,,,
CONTACTS_KWN_POS,,,,,,
CONTACTS_KWN_POS_C,,,,,,
CONTACTS_KWN_POS_P,,,,,,
CONTACTS_ELIGIBLE,,,,,,
CONTACTS_ELIGIBLE_C,,,,,,
CONTACTS_ELIGIBLE_P,,,,,,
ELIGIBLE_TESTED,,,,,,
ELIGIBLE_TESTED_C,,,,,,
ELIGIBLE_TESTED_P,,,,,,
CONTACTS_TST_POS,,,,,,
CONTACTS_TST_POS_C,,,,,,
CONTACTS_TST_POS_P,,,,,,
CONTACTS_LNK_TX,,,,,,
CONTACTS_LNK_TX_C,,,,,,
CONTACTS_LNK_TX_P,,,,,,
CONTACTS_ONART,,,,,,
CONTACTS_ONART_C,,,,,,
CONTACTS_ONART_P,,,,,,
CONTACTS_TRACK,,,,,,
