ind,indicator,disaggregate,sex,agecoarse,resultstatus,otherdisaggregate
OPD Visits,,,,,,
OPD Presumptive TB cases,,,,,,
OPD Presumptive TB cases tested for HIV,,,,,,
OPD Presumptive TB cases tested/recorded POS for HIV,,,,,,
OPD HIV+ Presumptive TB cases who are linked to CTC,,,,,,
OPD Presumptive TB cases with final TB result TB-NEG,,,,,,
OPD Presumptive TB cases with final TB result TB-POS,,,,,,
ART clients who began IPT six months perior,,,,,,
ART clients who completed six months of IPT,,,,,,
ART clients who began IPT during reporting period,,,,,,
"Males screened for testing, 15+ years old",,,,,,
"Females screened for testing, 15+ years old",,,,,,
"Children screened for testing, <15 years old",,,,,,
"Screened-eligible Males tested at site, 15+ years old",,,,,,
"Screened-eligible Females tested at site, 15+ years old",,,,,,
"Screened-eligible Children tested at site, <15 years old",,,,,,
"Screened-eligible Males tested POS at site, 15+ years old",,,,,,
"Screened-eligible Females tested POS at site, 15+ years old",,,,,,
"Screened-eligible Children tested POS at site, <15 years old",,,,,,
Overall HTS TST,,,,,,
"Males tested at site, 15+ years old",HTS_TST,Age/Sex,Male,15+,,
"Females tested at site, 15+ years old",HTS_TST,Age/Sex,Female,15+,,
"Children tested at site, <15 years old",HTS_TST,Age/Sex,,<15,,
"Males tested POS at site, 15+ years old",HTS_TST_POS,Age/Sex,Male,15+,Positive,
"Females tested POS at site, 15+ years old",HTS_TST_POS,Age/Sex,Female,15+,Positive,
"Children tested POS at site, <15 years old",HTS_TST_POS,Age/Sex,,<15,Positive,
Males (15+) tested POS in reporting month who are given CTC# and enrolled in CTC,TX_LINK,Age/Sex,Male,15+,,
Females (15+) tested POS in reporting month who are given CTC# and enrolled in CTC,TX_LINK,Age/Sex,Female,15+,,
Children (<15) tested POS in reporting month who are given CTC# and enrolled in CTC,TX_LINK,Age/Sex,,<15,,
"Male TX_NEW, 15+ years old",TX_NEW,Age/Sex,Male,15+,,
"Female TX_NEW, 15+ years old",TX_NEW,Age/Sex,Female,15+,,
